ligand,receptor,n_sources,sources
ADCYAP1,ADCYAP1R1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP6,ACVR2A,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP6,BMPR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP7,ACVR2A,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP7,ACVR2B,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP7,BMPR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BMP8A,BMPR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BTC,EGFR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BTC,ERBB2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BTC,ERBB4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
BTLA,TNFRSF14,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C3,C3AR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C3,CR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C4A,C3AR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C5,C5AR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALCA,CALCR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALCA,CALCRL,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALCB,CALCR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CALCB,CALCRL,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCK,CCKAR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCK,CCKBR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL1,CCR8,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL11,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL11,CCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL13,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL14,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL14,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL15,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL16,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL17,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL17,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL17,CCR4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL19,CCR7,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL2,CCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL20,CCR6,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL21,CCR7,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL22,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL22,CCR4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL23,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL24,CCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL25,CCR9,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL26,CCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL27,CCR10,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL28,CCR10,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL28,CCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL3,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL3,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL3,CCR5,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL4,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL4,CCR5,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL5,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL5,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL5,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL5,CCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL5,CCR4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL5,CCR5,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL7,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL7,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL7,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL7,CCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL7,CCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL8,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL8,ACKR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL8,CCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CCL8,CCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CD274,PDCD1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CD40LG,CD40,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CD86,CD28,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CD86,CTLA4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CD99,PILRA,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CDH1,ITGB7,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CDH1,KLRG1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CGA,LHCGR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CHAD,ITGB1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CLCF1,LIFR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CNTF,LIFR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL1A1,CD44,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL1A1,ITGB1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL1A2,CD44,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL1A2,ITGB1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL2A1,ITGB1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL4A1,ITGAV,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL4A1,ITGB1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COL4A1,ITGB8,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
COMP,ITGB3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CORT,SSTR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CORT,SSTR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CORT,SSTR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CORT,SSTR4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CORT,SSTR5,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CRH,CRHR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CRH,CRHR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CSF1,CSF1R,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CSF2,CSF2RB,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CSF3,CSF3R,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CTF1,LIFR,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CX3CL1,CX3CR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL1,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL1,CXCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL1,CXCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL10,CXCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL11,ACKR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL11,CXCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL12,ACKR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL12,CXCR4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL13,CXCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL13,CXCR5,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL16,CXCR6,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL2,CXCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL2,CXCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL3,CXCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL3,CXCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL5,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL5,CXCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL5,CXCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL6,CXCR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL6,CXCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL8,ACKR1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL8,CXCR2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
CXCL9,CXCR3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLK1,NOTCH1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLK1,NOTCH2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLK1,NOTCH3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLL1,NOTCH1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLL1,NOTCH2,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLL1,NOTCH3,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLL1,NOTCH4,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
DLL3,NOTCH1,8,COMMOT_CellChat; CellTalkDB; LARIS_neurotransmitter; LIANA_consensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
