ligand,receptor,n_sources,sources
Adcyap1,Adcyap1r1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Avp,Avpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bdnf,Ntrk2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp10,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp15,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp2,Acvr2a,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp2,Acvr2b,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp2,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp4,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp6,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp7,Acvr2a,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp7,Acvr2b,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp7,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp8a,Acvr2a,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp8a,Acvr2b,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Bmp8a,Bmpr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Btc,Egfr,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Btc,Erbb2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Btc,Erbb4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
C3,C3ar1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Calca,Calcr,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cck,Cckar,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cck,Cckbr,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl11,Ackr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl11,Ccr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl17,Ackr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl17,Ccr4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl2,Ackr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl2,Ccr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl20,Ccr6,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl22,Ackr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl22,Ccr4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl24,Ccr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl25,Ccr9,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl28,Ccr10,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl28,Ccr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl4,Ackr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl4,Ccr5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl5,Ackr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl5,Ccr1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl5,Ccr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl5,Ccr4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Ccl5,Ccr5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cd274,Pdcd1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cd40lg,Cd40,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cd86,Cd28,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cdh1,Itgb7,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Chad,Itgb1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Col1a1,Cd44,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Col1a1,Itgb1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Col1a2,Cd44,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Col1a2,Itgb1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Col4a1,Itgb1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Comp,Cd47,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cort,Sstr1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cort,Sstr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cort,Sstr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cort,Sstr5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Crh,Crhr1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Crh,Crhr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Csf1,Csf1r,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Csf3,Csf3r,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cx3cl1,Cx3cr1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl1,Cxcr1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl1,Cxcr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl10,Cxcr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl12,Cxcr4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl13,Cxcr3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl13,Cxcr5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl16,Cxcr6,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl2,Cxcr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Cxcl5,Cxcr2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dlk1,Notch1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dlk1,Notch2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dlk1,Notch3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll1,Notch1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll1,Notch2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll1,Notch3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll1,Notch4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll3,Notch1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll3,Notch2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll3,Notch3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll3,Notch4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll4,Notch1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll4,Notch2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll4,Notch3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Dll4,Notch4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Edn1,Ednra,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Edn1,Ednrb,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Edn2,Ednra,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Edn2,Ednrb,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Edn3,Ednra,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Edn3,Ednrb,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha7,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna1,Epha8,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha7,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna2,Epha8,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha7,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna3,Epha8,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha7,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna4,Epha8,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna5,Epha1,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna5,Epha2,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna5,Epha3,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna5,Epha4,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
Efna5,Epha5,9,COMMOT_CellChat; CellChatDB; CellTalkDB; LARIS_neurotransmitter; LIANA_mouseconsensus; SPIDER_internal; SpaCcLink; connectomeDB2020_lit; stCASE
